youtube_id,original_name,new_name,new_path
AWeLiVf-Pew,AWeLiVf-Pew_00136.jpeg,47b56bdd-54cb-4d54-8f95-a18ca771461c.jpeg,grouped_dataset/group_28/47b56bdd-54cb-4d54-8f95-a18ca771461c.jpeg
aLg98S4sxsE,aLg98S4sxsE_frames000003176.jpeg,3b1dc16e-d695-45e5-ad7a-f4691ecb32ef.jpeg,grouped_dataset/group_29/3b1dc16e-d695-45e5-ad7a-f4691ecb32ef.jpeg
puWTz8toRHc,puWTz8toRHc_frames000002603.jpeg,785c5f79-3c9f-4155-aab4-d4a78b2ca52c.jpeg,grouped_dataset/group_30/785c5f79-3c9f-4155-aab4-d4a78b2ca52c.jpeg
pSY74-B7M2c,pSY74-B7M2c_frames000001855.jpeg,c64cf9aa-076d-45e0-a4aa-750c2acfe16c.jpeg,grouped_dataset/group_31/c64cf9aa-076d-45e0-a4aa-750c2acfe16c.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000005783.jpeg,ec6b2215-a4ae-4e8f-b459-e5f3ec214f9b.jpeg,grouped_dataset/group_32/ec6b2215-a4ae-4e8f-b459-e5f3ec214f9b.jpeg
_74yzN4lf3w,_74yzN4lf3w_frames000001056.jpeg,43303097-74db-4472-ab66-4e7d0410a115.jpeg,grouped_dataset/group_33/43303097-74db-4472-ab66-4e7d0410a115.jpeg
ixllGOX0Evw,ixllGOX0Evw_frames000003102.jpeg,7bae8a84-a525-448f-9131-501877aa5da0.jpeg,grouped_dataset/group_34/7bae8a84-a525-448f-9131-501877aa5da0.jpeg
toc-YQLDIZ8,toc-YQLDIZ8_frames000000779.jpeg,98aa8b96-ee5d-4709-bee9-a7363b58475b.jpeg,grouped_dataset/group_35/98aa8b96-ee5d-4709-bee9-a7363b58475b.jpeg
pSY74-B7M2c,pSY74-B7M2c_frames000004920.jpeg,3ab1c560-aeaf-421d-a759-670c142358c8.jpeg,grouped_dataset/group_36/3ab1c560-aeaf-421d-a759-670c142358c8.jpeg
puWTz8toRHc,puWTz8toRHc_frames000000754.jpeg,51331cff-147f-4293-862f-f4d917feaf6a.jpeg,grouped_dataset/group_37/51331cff-147f-4293-862f-f4d917feaf6a.jpeg
puWTz8toRHc,puWTz8toRHc_frames000002653.jpeg,a96c49eb-94e9-47bc-b2d5-50ed9e759295.jpeg,grouped_dataset/group_38/a96c49eb-94e9-47bc-b2d5-50ed9e759295.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000001317.jpeg,d1c79458-275f-4eae-b421-0fb09f098365.jpeg,grouped_dataset/group_39/d1c79458-275f-4eae-b421-0fb09f098365.jpeg
Fd1KJ3RWxaw,Fd1KJ3RWxaw_frames000001540.jpeg,36f225c0-9cb5-4fec-ab0c-3799fe289a9a.jpeg,grouped_dataset/group_40/36f225c0-9cb5-4fec-ab0c-3799fe289a9a.jpeg
cn_taKva-AQ,cn_taKva-AQ_frames000001960.jpeg,8a31b98d-ad25-4816-bce1-73bd01d2e2b3.jpeg,grouped_dataset/group_41/8a31b98d-ad25-4816-bce1-73bd01d2e2b3.jpeg
BPh2uxbW-yc,BPh2uxbW-yc_00043.jpeg,474995a6-7fba-4cca-995f-af919096d664.jpeg,grouped_dataset/group_42/474995a6-7fba-4cca-995f-af919096d664.jpeg
dvljiQgpCAE,dvljiQgpCAE_frames000004883.jpeg,ff6bd636-8b14-4a36-9860-2170f4d0124f.jpeg,grouped_dataset/group_43/ff6bd636-8b14-4a36-9860-2170f4d0124f.jpeg
puWTz8toRHc,puWTz8toRHc_frames000002202.jpeg,168cb101-a1e9-439d-8fcc-c22f18c6b4c9.jpeg,grouped_dataset/group_44/168cb101-a1e9-439d-8fcc-c22f18c6b4c9.jpeg
_cG5NAhELcE,_cG5NAhELcE_00025.jpeg,2833b5c6-84bb-44c7-97cb-37e5edc7c81c.jpeg,grouped_dataset/group_45/2833b5c6-84bb-44c7-97cb-37e5edc7c81c.jpeg
cn_taKva-AQ,cn_taKva-AQ_frames000010158.jpeg,9b8d2a9e-bbc9-4166-9619-648eee95dced.jpeg,grouped_dataset/group_46/9b8d2a9e-bbc9-4166-9619-648eee95dced.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000004802.jpeg,2526ccd4-350d-4db1-8e3c-f55c5ebe5b29.jpeg,grouped_dataset/group_47/2526ccd4-350d-4db1-8e3c-f55c5ebe5b29.jpeg
cn_taKva-AQ,cn_taKva-AQ_frames000008520.jpeg,12d2784a-f3bc-428a-afc8-5913b9a6cf70.jpeg,grouped_dataset/group_48/12d2784a-f3bc-428a-afc8-5913b9a6cf70.jpeg
aLg98S4sxsE,aLg98S4sxsE_frames000001956.jpeg,bbed326d-6ce7-40a2-9b31-a5a43bea4005.jpeg,grouped_dataset/group_49/bbed326d-6ce7-40a2-9b31-a5a43bea4005.jpeg
ixllGOX0Evw,ixllGOX0Evw_frames000002270.jpeg,7e7951bd-b566-42f0-945d-250be2dd49b1.jpeg,grouped_dataset/group_50/7e7951bd-b566-42f0-945d-250be2dd49b1.jpeg
QCJfjZdbqKw,QCJfjZdbqKw_00041.jpeg,14514e8f-8e53-43f0-a6ba-278201f78f25.jpeg,grouped_dataset/group_51/14514e8f-8e53-43f0-a6ba-278201f78f25.jpeg
cn_taKva-AQ,cn_taKva-AQ_frames000000247.jpeg,96497c80-2b2b-4acc-ab08-a62dbcc661a0.jpeg,grouped_dataset/group_52/96497c80-2b2b-4acc-ab08-a62dbcc661a0.jpeg
jZilbLz0m8I,jZilbLz0m8I_frames000002170.jpeg,b65fc4f8-efec-4d0d-98df-bc18040dcaa6.jpeg,grouped_dataset/group_53/b65fc4f8-efec-4d0d-98df-bc18040dcaa6.jpeg
B3nfjlD1zvk,B3nfjlD1zvk_frames000001554.jpeg,63dcb039-5ae8-4000-8fb6-3381340368db.jpeg,grouped_dataset/group_54/63dcb039-5ae8-4000-8fb6-3381340368db.jpeg
pSY74-B7M2c,pSY74-B7M2c_frames000002251.jpeg,fdc465f3-5ab6-42b7-a8e0-5253d2f7750c.jpeg,grouped_dataset/group_55/fdc465f3-5ab6-42b7-a8e0-5253d2f7750c.jpeg
ixllGOX0Evw,ixllGOX0Evw_frames000001796.jpeg,22a1a531-7b96-4831-a885-b8a7385115dd.jpeg,grouped_dataset/group_56/22a1a531-7b96-4831-a885-b8a7385115dd.jpeg
pSY74-B7M2c,pSY74-B7M2c_frames000000555.jpeg,e4f2d042-3c62-4ab9-846a-9e74d42d07e1.jpeg,grouped_dataset/group_57/e4f2d042-3c62-4ab9-846a-9e74d42d07e1.jpeg
7iCczf3fHWY,7iCczf3fHWY_frames000002314.jpeg,f18438ad-2990-44b5-b9a0-91ba934eb22f.jpeg,grouped_dataset/group_58/f18438ad-2990-44b5-b9a0-91ba934eb22f.jpeg
FBHGV24szs4,FBHGV24szs4_frames000002145.jpeg,967471a6-d883-434d-b681-cd28404ab5fc.jpeg,grouped_dataset/group_59/967471a6-d883-434d-b681-cd28404ab5fc.jpeg
7iCczf3fHWY,7iCczf3fHWY_frames000003157.jpeg,7e67cfaa-157d-4a38-99dc-a4131a9653bb.jpeg,grouped_dataset/group_60/7e67cfaa-157d-4a38-99dc-a4131a9653bb.jpeg
